id,days
314114,5
208989,5
305872,5
266099,5
13228,5
181868,5
306919,5
281736,5
102076,5
294069,5
216652,5
7359,5
291915,5
244224,5
258238,5
239066,5
235980,5
112350,5
113056,5
163673,5
127096,5
72389,5
120380,5
2512,5
123251,5
239621,5
145362,5
152864,5
276592,5
259725,5
282141,5
205897,5
60270,5
9349,5
10358,5
142083,5
4246,5
62097,5
83651,5
301531,5
189935,5
1105,5
122417,5
209276,5
186364,5
81532,5
6101,5
111411,5
132807,5
32974,5
66247,5
45875,5
80368,5
254220,5
317355,5
3992,5
121996,5
7622,5
66678,5
257711,5
191447,5
186922,5
178954,5
129618,5
210622,5
176525,5
215357,5
39978,5
172250,5
245661,5
284876,5
44578,5
278246,5
257590,5
67448,5
204983,5
107552,5
64638,5
184208,5
272642,5
270450,5
282712,5
42111,5
228370,5
315668,5
156630,5
311254,5
260074,5
113891,5
50680,5
62672,5
4602,5
3840,5
96482,5
269215,5
230162,5
202859,5
29054,5
101173,5
61745,5
74601,5
59042,5
93244,5
16311,5
259915,5
22165,5
122228,5
2169,5
246790,5
222938,5
201994,5
129279,5
165577,5
199510,5
233062,5
118986,5
170099,5
68003,5
95317,5
82625,5
97815,5
32470,5
25167,5
31160,5
200100,5
133882,5
306905,5
159751,5
312603,5
241843,5
121636,5
70226,5
284445,5
317198,5
189096,5
55212,5
241931,5
211173,5
306608,5
97301,5
124765,5
181200,5
283210,5
37340,5
114657,5
129359,5
217724,5
307327,5
10993,5
26338,5
245314,5
132687,5
3560,5
317545,5
316404,5
53853,5
1646,5
291525,5
106946,5
249823,5
279542,5
27789,5
300904,5
87083,5
101708,5
284058,5
73714,5
133821,5
13514,5
251247,5
89266,5
121148,5
82736,5
92396,5
235041,5
248348,5
24967,5
51565,5
210268,5
4783,5
201175,5
197597,5
73247,5
7031,5
28503,5
37525,5
140809,5
171518,5
219740,5
238250,5
229041,5
314908,5
165263,5
285874,5
292512,5
111146,5
193264,5
59471,5
188041,5
287482,5
314111,5
231828,5
315719,5
178509,5
286596,5
79762,5
16950,5
186640,5
234411,5
284067,5
310298,5
36063,5
64847,5
69811,5
214271,5
143692,5
154592,5
173565,5
74233,5
219996,5
138559,5
289439,5
217230,5
214491,5
76104,5
71861,5
234144,5
134025,5
111296,5
262935,5
12715,5
44142,5
277832,5
192751,5
132099,5
229029,5
155806,5
263612,5
155368,5
451,5
33863,5
105576,5
230021,5
262074,5
142406,5
102910,5
45615,5
144743,5
49749,5
81100,5
2879,5
134210,5
124320,5
196315,5
87173,5
47179,5
165480,5
259778,5
256858,5
289574,5
289806,5
91767,5
9299,5
252028,5
103357,5
318045,5
114975,5
180182,5
86922,5
190965,5
245123,5
