id,days
314114,0.0
208989,0.0
305872,0.0
266099,0.0
13228,0.0
181868,0.0
306919,0.0
281736,0.0
102076,0.0
294069,0.0
216652,0.0
7359,0.0
291915,0.0
244224,0.0
258238,0.0
239066,0.0
235980,0.0
112350,0.0
113056,0.0
163673,0.0
127096,0.0
72389,0.0
120380,0.0
2512,0.0
123251,0.0
239621,0.0
145362,0.0
152864,0.0
276592,0.0
259725,0.0
282141,0.0
205897,0.0
60270,0.0
9349,0.0
10358,0.0
142083,0.0
4246,0.0
62097,0.0
83651,0.0
301531,0.0
189935,0.0
1105,0.0
122417,0.0
209276,0.0
186364,0.0
81532,0.0
6101,0.0
111411,0.0
132807,0.0
32974,0.0
66247,0.0
45875,0.0
80368,0.0
254220,0.0
317355,0.0
3992,0.0
121996,0.0
7622,0.0
66678,0.0
257711,0.0
191447,0.0
186922,0.0
178954,0.0
129618,0.0
210622,0.0
176525,0.0
215357,0.0
39978,0.0
172250,0.0
245661,0.0
284876,0.0
44578,0.0
278246,0.0
257590,0.0
67448,0.0
204983,0.0
107552,0.0
64638,0.0
184208,0.0
272642,0.0
270450,0.0
282712,0.0
42111,0.0
228370,0.0
315668,0.0
156630,0.0
311254,0.0
260074,0.0
113891,0.0
50680,0.0
62672,0.0
4602,0.0
3840,0.0
96482,0.0
269215,0.0
230162,0.0
202859,0.0
29054,0.0
101173,0.0
61745,0.0
74601,0.0
59042,0.0
93244,0.0
16311,0.0
259915,0.0
22165,0.0
122228,0.0
2169,0.0
246790,0.0
222938,0.0
201994,0.0
129279,0.0
165577,0.0
199510,0.0
233062,0.0
118986,0.0
170099,0.0
68003,0.0
95317,0.0
82625,0.0
97815,0.0
32470,0.0
25167,0.0
31160,0.0
200100,0.0
133882,0.0
306905,0.0
159751,0.0
312603,0.0
241843,0.0
121636,0.0
70226,0.0
284445,0.0
317198,0.0
189096,0.0
55212,0.0
241931,0.0
211173,0.0
306608,0.0
97301,0.0
124765,0.0
181200,0.0
283210,0.0
37340,0.0
114657,0.0
129359,0.0
217724,0.0
307327,0.0
10993,0.0
26338,0.0
245314,0.0
132687,0.0
3560,0.0
317545,0.0
316404,0.0
53853,0.0
1646,0.0
291525,0.0
106946,0.0
249823,0.0
279542,0.0
27789,0.0
300904,0.0
87083,0.0
101708,0.0
284058,0.0
73714,0.0
133821,0.0
13514,0.0
251247,0.0
89266,0.0
121148,0.0
82736,0.0
92396,0.0
235041,0.0
248348,0.0
24967,0.0
51565,0.0
210268,0.0
4783,0.0
201175,0.0
197597,0.0
73247,0.0
7031,0.0
28503,0.0
37525,0.0
140809,0.0
171518,0.0
219740,0.0
238250,0.0
229041,0.0
314908,0.0
165263,0.0
285874,0.0
292512,0.0
111146,0.0
193264,0.0
59471,0.0
188041,0.0
287482,0.0
314111,0.0
231828,0.0
315719,0.0
178509,0.0
286596,0.0
79762,0.0
16950,0.0
186640,0.0
234411,0.0
284067,0.0
310298,0.0
36063,0.0
64847,0.0
69811,0.0
214271,0.0
143692,0.0
154592,0.0
173565,0.0
74233,0.0
219996,0.0
138559,0.0
289439,0.0
217230,0.0
214491,0.0
76104,0.0
71861,0.0
234144,0.0
134025,0.0
111296,0.0
262935,0.0
12715,0.0
44142,0.0
277832,0.0
192751,0.0
132099,0.0
229029,0.0
155806,0.0
263612,0.0
155368,0.0
451,0.0
33863,0.0
105576,0.0
230021,0.0
262074,0.0
142406,0.0
102910,0.0
45615,0.0
144743,0.0
49749,0.0
81100,0.0
2879,0.0
134210,0.0
